MR,T,t
0.0002996834672780279,-141.87947862527113,1699881962.9539008
0.0002962828265213898,-135.47994886346444,1699881965.3024938
0.00029339863526581597,-129.36878730199732,1699881967.6053612
0.000290175898500619,-123.61414621258977,1699881969.9489675
0.000285853491568964,-118.46595210508626,1699881972.2831717
0.0002842534551107556,-113.39088140386056,1699881974.6274078
0.00027928221979667777,-108.3384797328334,1699881976.9729822
0.00027588307645652507,-103.56886552944978,1699881979.3272908
0.0002726983026494226,-99.23174417567587,1699881981.6728659
0.0002690520527592515,-94.42559814504008,1699881984.0243258
0.0002648338458220219,-90.3992293000793,1699881986.382698
0.00025953834224668815,-85.68983727109368,1699881989.3092973
0.00025617363042496446,-81.845024526477,1699881991.6562543
0.00025117348032478417,-77.50976012698149,1699881994.0325933
0.000246382027473806,-73.49194145451563,1699881996.3943992
0.00024246184700837782,-70.26795561168754,1699881998.7679636
0.0002377066270950015,-67.16779778189878,1699882001.1529064
0.00023298445339670952,-63.92232805285312,1699882003.5186193
0.00022848215880030405,-61.09976310955775,1699882005.917355
0.00022273127453255863,-58.180000035439754,1699882008.3009248
0.00021701278238413333,-55.2965521552034,1699882010.7095761
0.0002120679034031262,-52.5143858976935,1699882013.1173382
0.0002049450033220712,-49.8478909991136,1699882015.5203998
0.00019878821100751087,-47.08143126842057,1699882018.0670722
0.0001927173646817995,-44.53312005290623,1699882020.4785345
0.0001850784511825197,-42.00586515796357,1699882022.893357
0.00017702598061087417,-39.83710660366171,1699882025.3255599
0.00016985540416427662,-37.76495398198249,1699882027.736994
0.00016030882601209885,-35.646346032942226,1699882030.1815286
0.00014866796240841146,-33.57273047229809,1699882032.6072671
0.00013678110910896385,-31.54951702420536,1699882035.0528822
0.00012324896353900193,-29.690396766672546,1699882037.5053813
0.00010669610802792657,-27.735646846805828,1699882039.9504044
8.965406687684069e-05,-26.01012165227319,1699882042.393624
7.050703669963475e-05,-24.348467384152574,1699882044.8589585
5.2690769307886274e-05,-22.673057845597867,1699882047.314761
3.9336422847148596e-05,-21.095605183899895,1699882049.7798877
2.9807368380951626e-05,-19.599853935611385,1699882052.244665
2.360853706794955e-05,-18.122323061708514,1699882054.716086
1.9785602854904558e-05,-16.508109164300297,1699882057.3895981
1.844560645527308e-05,-15.088740764735498,1699882059.8692405
1.6878209263049773e-05,-13.7741705382995,1699882062.349001
1.6302133046306395e-05,-12.50579522742479,1699882064.8425117
1.4967455812538061e-05,-11.19264046801456,1699882067.3416193
1.4344257004063188e-05,-10.029584869387627,1699882069.8360767
1.3682413415392393e-05,-8.863272414823639,1699882072.3301818
1.3752643607261078e-05,-7.821775718240794,1699882074.826255
1.3437907920766152e-05,-6.778941798861828,1699882077.3427749
1.2770884928829004e-05,-5.734592214356428,1699882079.8485923
1.2635400836493487e-05,-4.767275546276254,1699882082.3839178
1.2907796724048875e-05,-3.8286185222959164,1699882084.9181223
1.2536767908491427e-05,-2.905463812171674,1699882087.441241
1.2719743420560729e-05,-2.0776288639671954,1699882089.985132
1.2555183029000824e-05,-1.2828556068059909,1699882092.5089414
1.2191482096757052e-05,-0.5987082219451232,1699882095.0554197
1.2499500127887792e-05,0.08954876952345364,1699882097.6033313
1.1582510431544373e-05,0.7944643884584194,1699882100.1449347
1.247109630160061e-05,1.6441564835261577,1699882102.9196622
1.2397055934014543e-05,2.3445029069018215,1699882105.4669504
1.2469209965671288e-05,3.106119099451463,1699882108.0477686
1.2125186324055356e-05,3.795493204349402,1699882110.6332474
1.2005631845850625e-05,4.418320434060603,1699882113.2107346
1.2014364498696558e-05,5.067475716256036,1699882115.7941108
1.2353345726786296e-05,5.654033332794183,1699882118.358933
1.1959850003034425e-05,6.247039498243158,1699882120.9591057
1.2342898048104718e-05,6.821021050270094,1699882123.569963
1.1979988800012454e-05,7.34422785860791,1699882126.1543036
1.1157886172210914e-05,7.863257526298555,1699882128.6052673
1.1612578073392587e-05,8.34417047885339,1699882131.02815
